职位,薪金范围,所在地,学历,工作年限,语言,年龄,员工福利,岗位职责,任职要求,所属部门,专业要求,汇报对象,下属人数,行业,公司规模,应聘查看率,是否仅限VIP查看
hrbp,"5-10万
                                        

"," 
厦门-思明区
",统招本科,2年以上,语言不限,年龄不限,"发展空间大,弹性工作,",岗位职责：1、执行所支持部门的试用期管理、转正管理、员工关系、培训发展等人力资源工作，协助业务部门提升组织绩效；2、 配合完成所负责的业务板块的绩效考核落地；3、 协助贯彻企业文化、政策及流程在所支持部门的执行；4、 .辅助加强员工沟通管理，畅通公司与员工的双向沟通渠道；5、 内部技术创新相关项目的管理与运营工作；6、 BP日常工作流程梳理及维护。,"要求：1、1—3年HR工作经验，专科及以上学历，有医疗行业背景优先；2、了解熟悉薪酬福利、培训发展、绩效管理、员工关系、文化建设任一模块工作，熟悉国家相关的政策、法律法规3、有极强责任心与学习能力，抗压性好，工作积极主动，有自己的主见；4、有良好的逻辑性和条理性，具备出色的沟通及跨部门合作能力，善于整合资源驱动目标达成。
                            ",人力资源部,不限,无,0人,制药/生物工程,50-99人,100%,
HRBP（武汉）,"5-7万
                                        

"," 
武汉-东西湖
",统招本科,经验不限,语言不限,年龄不限,"带薪年假,通讯津贴,定期体检,节日礼物,提供住宿,六险一金,绩效奖金,",一、岗位职责：1.了解并熟悉所支持部门的业务方向和团队运作状况，有效推动各项人力资源政策或流程在部门的落地；2.负责招聘、培训、绩效、文化、员工关系等人力资源工作的具体开展和执行；3.保持与业务管理层、各层级员工的交流与互动，丰富沟通渠道，确保内部信息传递的通畅；4.配合部门负责人完成各项指派性工作；二、,"要求：1.熟练使用office办公软件；2.具有很好的语言文字表达能力，具有较强的沟通、协调和应变能力，较强的团队合作意识；3.抗压力较强，能适应高强度的工作；三、福利待遇：1.工资：综合工资4000-6000元，月休4-6天，全国范围内自主选择六险一金购买地；2.在职提升：公司为员工提供各种培训机会，狮桥学院根据员工的岗位类别，组织各种业务、工作、能力提升等相关内部培训与户外拓展，助力员工晋升发展；3.公司在不同季度将举办各类文娱活动，增进部门间沟通，愉悦身心；四、【备注】此招聘为公司直招，狮桥物流及其下属分公司在招聘过程中不收取任何费用、押金等，敬请各位求职者知晓，以免受骗损失财物。狮桥物流期待您的加入！若有意向请直接投递简历，若通过筛选，我司将在5个工作日内安排您进行相关面试！
                            ",行政及人力资源部,不限,无,0人,交通/物流/运输,500-999人,30%,
HRBP,"面议
                                        

"," 
重庆-南岸区
",大专及以上,7年以上,语言不限,年龄不限,"年底双薪,带薪年假,节日礼物,定期体检,领导好,五险一金,发展空间大,公司规模大,",岗位职责：1、充分了解公司的管理及业务模式，理解人力资源政策及流程，担当所负责部门的人力资源顾问与合作伙伴，提供必要的建设性意见和建议；2、理解业务战略和业务目标，识别业务痛点，通过提供在专业领域如人才管理、人力规划、变革管理上的人力资源解决方案，支持业务战略达成；3、督促贯彻企业文化、价值观、政策及流程在部门的执行；4、负责公司人员招聘流程管理相关项目的实施、监督、评估与宣贯，辅助战略重点落地，协助培养组织需求的人才；5、完成人力资源解决方案执行，确保人力资源政策、制度、体系与重点项目的落地与推动执行；6、积极关注员工思想动态，给予相应地导，并将问题进行反馈和处理。7、完成上级交办的其他工作。,"资格：1、大学本科以上学历，人力资源管理等相关专业；2、4年以上人力资源管理经验，其中1年大型互联网或物流行业BP经验；3、具有较强的沟通协调能力，抗压适应能力强；4、对现代企业人力资源管理模式有系统的了解和实践经验积累，对人力资源管理各个职能模块均有较深入的认识和见解；5、熟悉国家、地方及企业关于合同管理、薪金制度、用人机制、保险福利待遇、培训等方面的法律法规及政策；
                            ",人力资源部,不限,无,0人,互联网/移动互联网/电子商务,2000-5000人,30%,
招聘经理（社区/新零售渠道HRBP）,"12-24万
                                        

"," 
济南
",大专及以上,5年以上,语言不限,年龄不限,"五险一金,绩效奖金,带薪年假,午餐补助,通讯津贴,交通补助,发展空间大,",岗位职责：1.作为公司新销售渠道--社区/零售通渠道人事伙伴，负责社区门店销售/开拓/推广各层级人员招聘及团队搭建；2.根据全省招聘需求和公司政策规划，拟定招聘计划、组织招聘活动、完成招聘目标；2.开发和维护本区域招聘渠道，不断完善面试甄选的方式方法，建立人才库；3.深入业务一线，进行人员配置和评估，搭建可持续发展的人才梯队；4.指导下属组织候选人和员工进行培训认证；5.与专家中心/共享中心密切合作，负责候选人薪酬沟通和异常处理，进行绩效管理，员工关系管理，搭建员工沟通渠道，构建良好劳资关系；6.负责下属人事团队的招聘及日常管理，包括但不限于能力提升、绩效管理、人员关怀等；7.与新渠道业务部门紧密配合，参与业务运营，在项目前期协助开展业务推广、营销策划等工作。,"要求：1.35岁以下，全日制大专以上学历；2.五年以上人力资源工作经验，新零售/O2O/快消/物流等相关背景优先；3.擅长招聘，熟悉人力资源管理其他模块且有一定实操经验优先；4.具备较强的团队领导力，带领过至少6人以上的团队；5.能够深入业务一线，主动参与业务工作，提供专业的人力资源解决方案及政策咨询；6.心态积极，责任心、执行力及抗压能力强，善于沟通协调，有较强的解决问题的能力；7.能够接受短期短途出差。
                            ",人力资源部,不限,无,0人,食品/饮料/烟酒/日化,10000人以上,51%,
HRBP,"10-12万
                                        

"," 
武汉
",本科及以上,3年以上,语言不限,年龄不限,"年底双薪,发展空间大,绩效奖金,带薪年假,领导好,免费班车,管理规范,技能培训,五险一金,团队聚餐,优秀员工奖,岗位晋升,年度旅游,公司提供专车,",位职责：1、熟悉所支持部门的业务和团队，并了解业务战略、促进人力资源战略的有效规划和实施；2、为业务部门提供有效的人员供给以及搭建人员梯队。具体工作内容包括人员招聘、内部激励、员工关系等人力资源工作，全方位提供建议并推动实施；3、关注业务部门各类组织、层级、人员配置合理性，协助组织架构调整，并提出有效合理的建议；4、员工沟通渠道建设、关注员工思想动态，促进公司以及业务部门跟员工的沟通；5、根据要求负责HR的其它工作。,"要求：1、本科学历，4年以上人力资源工作经验，熟悉招聘、员工关系及员工发展等模块，有组建团队的经历优先；2、学习能力佳、善于倾听与沟通，擅长整合资源驱动目标达成，出色的多任务、多角色平衡能力；3、工作积极主动，细心、责任心强、沟通协调能力强， 有很好的团队合作精神；4、熟悉相关劳动法律法规，精通人力资源管理的系统知识，具备较强的项目组织、规划能力；5、有互联网行业人力资源管理经验或者有技术团队的HRBP经验更佳。
                            ",人事行政部,不限,无,0人,,1000-2000人,96%,
HRBP,"10-18万
                                        

"," 
杭州
",本科及以上,3年以上,普通话,年龄不限,"领导好,技能培训,岗位晋升,发展空间大 ,","岗位职责：1、深入了解所负责团队（仓储物流业务线）的人力资源现状，识别部门的用人需求，与业务部门协同设计并实施人力资源解决方案；2、推动业务部门的绩效考核方案，根据业务部门的实际情况优化及调整各项考核指标；3、根据业务部门的用人需求完成日常的招聘需求，为公司业务发展搭建有力的人才体系；4、完成业务部门的人才盘点工作，优化团队结构，培养和保留关键人才；5、其他人力资源及团队建设的相关工作。岗位要求：1、本科以上学历，专业不限，3年以上供应链行业招聘经验，具备人力资源全盘管理能力优先；2、优秀的沟通协调能力，有责任心，工作积极认真，结果导向，可承受较大的工作压力；3、精通任意一种人才评测工具，有对接劳务派遣经验优先。为什么一手值得你来？1.与你能力相匹配的理想薪资，优秀人才期权分配，充分授权管理，给你一个施展才华的舞台；2.重视人才发展，为每一个人才提供可以快速学习，最快成长的平台，与各领域的牛人为伍；3.包容失败的文化，为每一个热爱创新，用心钻研的你提供试错的机会，只要是尽力的，没有人会怪你，我们会帮助你一起解决问题；4.高速发展的朝阳项目，产品上线短短1年多实现了50倍业绩增长，获得多家知名投资机构青睐，你的未来将和公司一样高速成长！更多的价值我们一起创造……
                            ",,,不限,无,0人,,100-499人,93%,
HRBP,"面议
                                        

"," 
南京
",统招本科,2年以上,语言不限,年龄不限,"绩效奖金,午餐补助,定期体检,年度旅游,节日礼物,领导好,扁平管理,管理规范,技能培训,岗位晋升,五险一金,团队聚餐,上市公司,购房津贴,子女福利,季度奖金,",岗位职责：1. 负责销售团队的人员招聘、培训、费用报销等人事行政工作；2. 负责销售团队与公司其他部门间的信息对接；3.参与运营团队建设，人员协调；4.监督执行营销团队考核方案；5.下达总部相关指令落实至营销一线。,"要求：1. 统招本科以上学历，人力专业优先考虑，2年以上工作经验；2. 具有较强的招聘能力以及团队组建能力，同岗位经历者优先；3. 做事踏实、细心，能适应快节奏的工作环境。
                            ",营销企划中心,不限,无,0人,房地产开发/建筑/建材/工程,2000-5000人,30%,
HRBP,"10-19万
                                        

"," 
深圳
",本科及以上,3年以上,普通话,年龄不限,"领导好,技能培训,岗位晋升,发展空间大,", 岗位职责：1、重点进行精英人才引进、团队搭建工作，对招聘效果负责2、负责简单的员工关系工作，如花名册更新、入职流程、离职流程等3、负责简单的社保公积金、补充医疗保险等工作4、领导交办的其他人力行政类工作任务 ,"资格：1、2年以上互联网公司技术类职位招聘工作经验，有猎头经验优先2、本科以上学历，专业不限 3、业务理解能力强，独立思考能力强4、服务意识强，细心踏实5、热爱与人打交道，乐于奉献、学习与挑战
                            ",人力资源部门,不限,无,0人,互联网/移动互联网/电子商务,50-99人,100%,
HRBP,"18-30万
                                        

"," 
杭州
",本科及以上,5年以上,普通话,年龄不限,"领导好,技能培训,岗位晋升,发展空间大 ,","职位描述：1、 深入业务部门，开展人员招聘、劳动关系、试用期考核、入离职手续办理等工作；2、 负责从人力资源角度推进业务规划和战略落地；3、 对于业务部门的人力资源问题进行诊断，提出针对性的HR建议以及解决方案；4、 负责对接行政工作的开展及注意事项并在所在区域推进和落实；5、 协助贯彻企业文化、政策及流程在所支持部门的执行。岗位要求：1、全日制本科以上学历，人力资源、心理学、管理类相关专业；2、5年以上HR工作经验，互联网行业背景、有支付行业或者互联网金融行业工作经验者优先考虑；3、熟悉各种招聘渠道、招聘流程以及运用各种招聘工具和办公软件；有一定的面试技巧；4、目标导向、自我驱动、具备较强的逻辑思考能力、学习能力、抗压能力；5、积极主动并具良好团结协作意识，承压能力强。
                            ",,,不限,无,0人,互联网/移动互联网/电子商务,100-499人,86%,
销售HRBP,"12-22万
                                        

"," 
上海-浦东新区
",本科及以上,5年以上,语言不限,年龄不限,"领导好,扁平管理,股票期权,绩效奖金,交通补助,发展空间大,五险一金,弹性工作,年底双薪,",职责描述：1、全面负责销售团队的招聘、培训、绩效、员工关系等各方面的工作，进行销售团队激励、梯队建设、人才培养、员工晋级等工作，为销售部门提供充足的人力支持和人才保障；2、参与制定、执行、评估及优化销售团队管理制度、流程、标准及表格；3、根据部门实际情况，为其提供专业的人力资源解决方案和政策咨询；4、完成领导交代的其他重要人力资源工作。,"要求：1、专业不限，本科及以上学历；2、5年以上人力资源或销售工作经验；4、具备较强的人际敏感度，资源整合能力、团队建设能力、计划执行能力及沟通协调能力；5、责任感强，有工作热情，善于沟通，抗压能力强。
                            ",人力资源,不限,人力资源总监,0人,计算机软件,50-99人,52%,
HRBP,"面议
                                        

"," 
北京-朝阳区
",本科及以上,10年以上,语言不限,年龄不限,"五险一金,带薪年假,绩效奖金,丰厚年终奖,午餐补助,免费体检,弹性工作,节日礼物,免费水果茶点,公司规模大,扁平管理,技能培训,管理规范,岗位晋升,明星大咖出没,团队聚餐,",职责描述：1、  与业务线/部门深入合作，解决业务发展过程中的人力资源相关问题，包括组织架构设计、人员需求与配置、人才发展与保留等；为各业务线/部门提供组织保障，比如人才盘点和继任者机制、人力资源规划等；2、  通过和管理者、员工的有效互动，保证组织中信息的通畅，营造良好的组织氛围和文化；3、  深刻理解业务和组织，及时把握组织动态，识别潜在风险，提供解决方案。,"要求：1、  本科学历及以上，管理类或理工科专业优先；2、  10年以上人力资源相关工作经验，综合经验丰富，；3、  乐于服务和帮助他人，主动性、责任感和团队合作意识强，抗压能力强；4、  具有业务与产品思维与钻研精神，能够以创新的思路解决问题；5、  高度责任感与执行力，愿意接受挑战与变化，以结果为导向。
",人力资源,不限,无,0人,,1000-2000人,39%,
HRBP（成都）,,,,,,,,,,,,,,,,,
HRBP,,,,,,,,,,,,,,,,,
系统检测到您账号的操作行为过于频繁，请确认是本人操作，同时不要将账号信息透漏给其他人或其它软件，尽量不要和其他人共用账号，如有以上行为请立即修改密码。,,,,,,,,,,,,,,,,,
系统检测到您账号的操作行为过于频繁，请确认是本人操作，同时不要将账号信息透漏给其他人或其它软件，尽量不要和其他人共用账号，如有以上行为请立即修改密码。,,,,,,,,,,,,,,,,,
招聘经理（社区/新零售渠道HRBP）,"18-30万
                                        

"," 
北京
",大专及以上,5年以上,语言不限,年龄不限,"五险一金,绩效奖金,带薪年假,午餐补助,通讯津贴,交通补助,发展空间大,",岗位职责：1.作为公司新销售渠道--社区/零售通渠道人事伙伴，负责社区门店销售/开拓/推广各层级人员招聘及团队搭建；2.根据京津区域招聘需求和公司政策规划，拟定招聘计划、组织招聘活动、完成招聘目标；2.开发和维护本区域招聘渠道，不断完善面试甄选的方式方法，建立人才库；3.深入业务一线，进行人员配置和评估，搭建可持续发展的人才梯队；4.指导下属组织候选人和员工进行培训认证；5.与专家中心/共享中心密切合作，负责候选人薪酬沟通和异常处理，进行绩效管理，员工关系管理，搭建员工沟通渠道，构建良好劳资关系；6.负责下属人事团队的招聘及日常管理，包括但不限于能力提升、绩效管理、人员关怀等；7.与新渠道业务部门紧密配合，参与业务运营，在项目前期协助开展业务推广、营销策划等工作。,"要求：1.35岁以下，全日制大专以上学历；2.五年以上人力资源工作经验，新零售/O2O/快消/物流等相关背景优先；3.擅长招聘，熟悉人力资源管理其他模块且有一定实操经验优先；4.具备较强的团队领导力，带领过至少6人以上的团队；5.能够深入业务一线，主动参与业务工作，提供专业的人力资源解决方案及政策咨询；6.心态积极，责任心、执行力及抗压能力强，善于沟通协调，有较强的解决问题的能力；7.能够接受短期短途出差。
                            ",人力资源部,不限,无,0人,食品/饮料/烟酒/日化,10000人以上,51%,
HRBP,"面议
                                        

"," 
上海
",统招本科,3年以上,语言不限,年龄不限,"扁平管理,发展空间大,绩效奖金,带薪年假,节日礼物,岗位晋升,五险一金,团队聚餐,办公环境高大上,",岗位概要:负责公司的人力资源管理政策体系、制度规范在各业务单元的推行落实；协助业务单元完善人力资源管理工作。工作职责:1.了解子公司的发展战略，为子公司的战略落地提供建议、规划并参与实施；2.负责相关岗位招聘工作，包括职位发布、简历筛选、面试直至录用；3.负责多种用工管理，渠道开发，费用管理工作；4.负责与相关部门或模块的日常材料数据往来处理，如考勤核对、员工异动管理，人事数据分析等等；5.为业务线提供全方位HR管理支持，扮演可信赖、战略意义的伙伴角色，协助业务线管理者不断提升团队绩效；6.辅助加强员工沟通管理，作为人力资源的平台保障公司与员工的双向沟通渠道畅通；7.保持与员工的良好沟通，及时反馈和解决团队发展需求；宣传企业文化、价值观、政策及流程，保证执行和落地；8.领导交办的其他工作及人力资源支持工作。,"资格:1，大学本科及以上学历，人力资源相关专业优先；2，至少三年以上人力资源工作经验；3，熟悉人力资源的流程体系；在绩效管理、员工关系、组织发展等方面有丰富的经验并有深入的思考；4，具备较强的沟通能力、学习能力，积极主动，有责任心，亲和力好，抗压性强；5，具备优秀的管理能力，能协调内外部资源与他人合作达成成果；6，熟练使用各类常用办公软件，且文笔优秀；7，具有缜密的逻辑思维，能适应快节奏、多线程、多板块的工作，抗压能力强。
                            ",人力资源部,不限,无,0人,专业服务(咨询/财会/法律/翻...,100-499人,87%,
人事行政主管/经理/HRBP,"5-10万
                                        

"," 
贵阳
",本科及以上,3年以上,普通话,年龄不限,"领导好,技能培训,岗位晋升,发展空间大 ,",岗位职责：1、协助落实集团总部有关管理决策和指令，并做好监督执行；2、协助领导修订各类人事、行政规章制度和流程，并做好监督执行；3、负责公司人员的招聘、培训及绩效考核、薪资福利、员工关系管理等日常人事管理工作；4、负责公司股东会、董事会的筹备，证照管理和变更手续；5、负责落实公司办公用品、办公环境、车辆、接待、后勤等行政管理工作；6、负责公司资质申报、管理、维护工作；7、对内与公司对其他部门做好工作对接，对外与相关机构做好业务对接；8、完成领导交办的其他事务。,"要求：1、具有人事六大模块或三大支柱全体系企业工作经验者优先；2、人力资源相关专业本科毕业，从事人力资源三年以上，可接受行政协同管理工作；3、熟练操作计算机，熟练使用各种办公软件；具备较好的表达、沟通、组织、协调能力和时间管理能力及亲和力。4、具有主流价值观趋向，强烈的事业心、大局意识、服务意识、责任心和忠诚度，良好的职业操守。分享微信邮件
                            ",,不限,无,0人,房地产开发/建筑/建材/工程,1-49人,100%,
hrbp,,,,,,,,,,,,,,,,,
HRBP(0659),"10-14万
                                        

"," 
上海-浦东新区
",本科及以上,3年以上,英语 + 普通话,年龄不限,"股票期权,带薪年假,交通补助,午餐补助,定期体检,节日礼物,领导好,扁平管理,管理规范,技能培训,岗位晋升,五险一金,团队聚餐,上市公司,发展空间大,",岗位职责：1. 了解业务部门的战略，对业务进行组织诊断，为业务部门的战略落地提供建议，规划并参与实施；2. 为组织发展提供人力资源支持，定期进行组织盘点，在招聘，培训，绩效考核，薪酬，员工关系等方面为业务部门提供有效的、持续改善的解决方案并实施；3. 负责完善业务部门人力资源的制度，流程， 体系，提升人力资源运作效率；4. 主动与事业部管理层，一线主管及员工进行多种形式的接触与有效沟通，保证信息在不同层级间的有效传递；5. 执行组织绩效分解及事业部员工的个性化绩效激励方案的制定并落实推动与实施；6. 推动业务部门因市场需要而进行的组织变革，确保变革顺利和有效；7.上级安排的其他工作。,"要求：1. 本科学历，人力资源管理及相关专业；2. 3-5年以上的人力资源工作经验，具有互联网行业背景优先；3. 具备较强的逻辑分析能力，综合素质全面，组织协调能力强；4. 具备良好的职业操守，强烈的敬业精神与责任感，主观能动性强。
",人事部,不限,无,0人,互联网/移动互联网/电子商务,100-499人,74%,
系统检测到您账号的操作行为过于频繁，请确认是本人操作，同时不要将账号信息透漏给其他人或其它软件，尽量不要和其他人共用账号，如有以上行为请立即修改密码。,,,,,,,,,,,,,,,,,
HRBP,"17-23万
                                        

"," 
北京
",本科及以上,3年以上,语言不限,年龄不限,"定期体检,弹性工作,节日礼物,带薪年假,五险一金,发展空间大,年底双薪,",岗位职责：1.担当业务部门负责人的人力资源顾问与合作伙伴，为组织发展提供人力资源支持，定期进行组织盘点，在招聘、培训、绩效考核、薪酬、员工关系等方面为业务部门提供有效的解决方案并实施；2. 主动与事业部管理层、一线主管及员工进行多种形式的接触和有效沟通，保证信息在不同层级间的有效传递；3.开展员工访谈，掌握员工动态和个人需求，并协助部门开展员工关怀活动和培训；4.在业务部门内推动公司层面的变革，负责完善业务部门人力资源的制度、流程、体系；提升人力资源运作效率；5.对业务有洞察力，快速学习并推进到业务团队的发展，协助部门进行内部组织结构优化，提高团队凝聚力，提高核心员工的稳定性。6. 传承公司文化，发扬价值观，建设沟通渠道，保证组织的持续健康成长；,"标准：1. 本科及以上学历，3-5年及以上人力资源工作经验，在招聘/绩效管理/员工关系/组织发展等某一模块有丰富的经验。，有互联网公司或HRBP/HRM经验优先考虑；2. 具有良好的业务理解力和洞察力，能够从外部市场＋内部业务角度形成深刻理解，进行HR的工作规划以及对应方案；3. 具有对人和对组织的敏感度，能够进行组织&人员诊断，并针对问题，形成有效方案并能够推进落地；4. 有亲和力； 能够从组织文化和团队建设的角度进行诊断和设计，促进组织能量的提升；4.优秀的沟通协调和关系建立能力，能够胜任多任务多角色的工作环境；5.强烈的自我驱动力，较强的快速适应、学习能力及抗压能力。6.可接受长期出差
",人力资源及行政部,不限,无,0人,,1000-2000人,49%,
hrbp,"面议
                                        

"," 
长沙
",大专及以上,3年以上,语言不限,年龄不限,"五险一金,公司规模大,发展空间大,带薪年假,弹性工作,年度旅游,岗位晋升,","岗位职责：1. 根据人力资源规划，编制招聘需求分析，建立招聘流程与招聘制度的设计；2.根据业务单元人力需求，组织实施招聘；3. 根据设立的内部轮岗/晋升机制，组织实施； 4 协助制定薪酬体系，并实施薪酬核算； 5. 协助编制奖励机制、激励机制； 6. 培训需求分析，编制绩效提升需求、绩效改善报告；岗位要求：1.专科以上学历，具备丰富的人资管理知识和实践经验，尤其是规范化管理经验。  2.了解现代企业人力资源管理模式和实践经验积累，对人力资源管理招聘、员工关系、培训模块均有较深入的认识；3.熟悉国家相关的政策、法律法规；4.  很强的计划性和实施执行的能力；很强的激励、沟通、协调、团队领导能力，责任心、事业心； 5.具备良好的人际交往能力、组织协调能力、沟通能力以及解决复杂问题的能力； 6.对人性的正确、全面的了解及广博知识，具有亲和力和优秀的人际关系处理技巧；
                            ",,长沙分公司,不限,无,0人,互联网/移动互联网/电子商务,1000-2000人,41%,
HRBP（招聘和企业文化）,"9-20万
                                        

"," 
北京
",本科及以上,2年以上,语言不限,年龄不限,"弹性工作,扁平管理,发展空间大,紧邻地铁,五险一金,团队聚餐,年底双薪,12天年假,",岗位职责：1、拓展维护招聘渠道，利用各种渠道满足公司人才需求，执行招聘、甄选、面试、offer谈判等工作；2、 负责企业文化活动方案设计、优化、推广及组织实施，运用微信公众号、H5等载体，对内/外进行企业文化传播；3、 全年各类节日祝福、员工生日、周年等活动策划及实施、关怀宣传；,"要求：1、	优秀的语言表达及沟通能力，良好的协调能力和自驱力；2、	具有较强的撰稿和文字编辑能力，深厚的文学功底；3、活泼外向，有灵气；具有对新鲜事物的敏感度，能不断创新及挑战自我；4、互联网或猎头行业招聘经验，有活动策划及企业文化工作经验者优先；
",集团运营中心,不限,无,0人,,100-499人,46%,
HRBP,"8-16万
                                        

"," 
深圳
",统招本科,3年以上,语言不限,年龄不限,"带薪年假,公司规模大,扁平管理,绩效奖金,五险一金,岗位晋升,定期体检,上市公司,",岗位职责：1、根据公司需求制定人力资源规划；2、制定本部门工作计划和人事等管理制度及费用预算等；3、根据公司招聘计划及招聘流程，负责员工的招聘、录用、晋升、岗位轮换等人事工作；4、根据公司发展规划与各部门要求，协助上级领导制定公司培训计划并组织培训活动；5、协助上级领导完成员工的绩效考评工作；6、负责整理人事资料，建立核心团队人才梯队建设及人才储备计划；,"要求：1、3年以上相关工作经验、本科以上学历，人力资源管理、行政管理、工商管理等相关专业毕业；2、在招聘、绩效中有一个模块有丰富的经验；3、具有较强的亲和力，优秀的人际沟通、协调、组织、管理能力；4、性格开朗，待人热情，为人正直，有较强的责任感。
                            ",人力资源部,不限,无,0人,互联网/移动互联网/电子商务,2000-5000人,45%,
人力资源主管（HRBP）,"8-12万
                                        

"," 
北京
",统招本科,3年以上,语言不限,20-35岁,"年底双薪,绩效奖金,带薪年假,定期体检,管理规范,岗位晋升,五险一金,发展空间大,500强,","职位描述：(招聘方向）1、根据现有编制及业务发展需求，完成年度人员招聘计划；2、拓展并维护各个招聘渠道；3、做招聘分析，面试分析及人员流失分析；4、建立公司人才库；5、执行招聘、甄选、面试、选择、安置工作；（培训方向）1、培训计划、实施及协调；2、培训资源的挖掘与整合、优化（讲师资源、课程资源）；3、建立并持续完善公司知识库及分享管理规定；4、新员工入职培训主讲；（薪酬方向）1、贯彻执行公司薪资福利管理制度；2、负责与人事代理机构对接，完成社保公积金等相关福利的缴纳工作，员工的社保公积金服务接口工作；3、工资计算，发放，个税申报，各薪酬数据项分析及统计工作，按时完成人工成本等分析报告；（绩效方向）1、推进落实公司绩效管理制度；2、组织并推进各部门的绩效考核工作，指导并监督考核工作按期有效执行，确保公司整体绩效考核按期有序执行；3、负责绩效考核数据的收集、汇总、整理及存档；建立绩效考核档案，拟写，提报绩效考核相关报表、报告；4、汇总、统计、归档绩效考核数据，建立员工绩效考核档案，为绩效工资核提供基础资料及依据；5、完成上级领导临时安排的工作任务。职位要求：1、人力资源、管理学相关专业；2、三年以上同岗位工作经历；3、对行业、相关岗位优质招聘渠道有一定了解；4、有培训体系、资源挖掘整合能力，有足够的课件编写、授课能力；5、熟悉薪酬福利管理和人力资源管理基础知识，熟悉国家人事政策、法律和法规；6、熟练使用excel办公软件、较强的数据分析能力，数字敏感度好，较强的语言及书面表达能力；7、工作耐心，细致，原则性强，学习能力强，抗压能力强，具备良好的沟通、协调能力，责任心强，有团队精神。
",,中信联合云科技有限责任公...,不限,无,0人,影视/媒体/艺术/文化/出版,1000-2000人,84%,
HRBP,"11-14万
                                        

"," 
北京
",统招本科,2年以上,语言不限,年龄不限,"七险一金,免费三餐,弹性工作,晋升机会多,公司规模大,技能培训,年底双薪,绩效奖金,带团队,住房补贴,",工作职责： 1、与业务部门搭档，了解业务战略并促进人力资源工作在业务部门的实施落地；2、分析业务部门架构、人员结构，并进行优化，有效支持业务发展；3、通过建立机制协助业务部门，如招聘、培训、绩效、员工关系等人力资源工作；4、协助业务部门开展文化建设活动，通过会议、活动等措施，确保文化的落地与执行；5、通过主动和管理层、员工的互动，建立有效和多样化的渠道，保证组织中信息的通畅；6、通过人力资源专业角度，辅助业务管理者提高组织效能。 ,"资格： 1、本科及以上学历，具有互联网业务从业背景者优先，如有在大型、规范化企业中从事人力资源相关工作经验者亦可；2、2-3年以上人力资源管理工作经验，参与过两个功能模块以上的体系设计及操作实务；3、熟悉人力资源运作管理流程，能通过数据分析、项目实操提供人力资源优化方案；4、具备一定的推动组织发展和人才管理能力，并能将其优化得标准化、可视化；5、良好的协调沟通及工作推动力，成就动机强、学习能力强、自我驱动力强。
                            ",人力行政,不限,无,0人,,1000-2000人,100%,
HRBP,"
                    	30-60万
                    ",北京,统招本科,5年以上,普通话,28-32岁,,"
               工作职责：1. 带领1-2人团队，独立支持2-3个业务线的HRBP相关日常工作；2. 深入了解公司业务和团队现状、发展战略，提供针对性的HR解决方案；3. 支持HRD制定公司级别的人力资源项目的制定和落地。","要求：1. 知名院校本科及以上学历，有较强学习能力；2. 5年以上知名互联网公司HRBP相关经验；3. 熟悉HR各个职能的工作流程，并在招聘与选拔、组织发展、组织变革、绩效激励、领导力等1-2个方向有较强的认知和实践经验；4. 善于业务推进和人际理解；5. 正直诚信，积极乐观。
            ",人力资源部,不限,HRD,0人,,,"
100%
							",1
HRBP,"
                    	23-36万
                    ",北京,统招本科,3年以上,语言不限,20-35岁,,"
岗位职责:1、为业务快速扩张和发展提供招聘支持，确保区域内业务按计划开展和达成；2、推业务线人才发展通道建设并优化，通过人才盘点、关键人才培养、接班人计划等方式为组织选拔、培养和保留人才；3、培训体系的搭建，创建多渠道、形式和内容丰富的员工培训，提升员工战斗力及专业能力；4、传承宣导公司文化，发扬价值观，建立沟通渠道，成为员工与团队管理者、员工与公司的沟通纽带、意见建议的反馈对象；5、员工关系管理，定期与员工交流，了解员工心态，关注员工发展；6、帮助管理者有效管理团队，包括团队建设、员工关怀、员工激励、绩效管理、文化宣导和融合、员工关系等。","资格:1、3年以上人力资源相关工作经验，2年以上HRBP相关工作经验；2、熟悉人力资源各大模块，有丰富的经验，能够深入的思考，遇到问题时能够快速准确做出专业判断和决策；3、熟悉劳动法，能够熟练依据法律法规给予管理者和员工有效的建议并解决问题；4、逻辑思考，数据分析能力、沟通能力、学习能力，积极主动，有责任心，抗压性强；5、具备优秀的项目经验以及项目管理能力，能协调内外部资源与他人合作达成成果.
",人事部,不限,hrbp leader,0人,,,"
100%
							",1
HRBP,,,,,,,,,,,,,,,,,1
