职位,薪金范围,所在地,学历,工作年限,语言,年龄,员工福利,岗位职责,任职要求,所属部门,专业要求,汇报对象,下属人数,行业,公司规模,应聘查看率,是否仅限VIP查看
猎头顾问（考虑转...,,,,,,,,,,,,,,,,,1
系统检测到您账号的操作行为过于频繁，请确认是本人操作，同时不要将账号信息透漏给其他人或其它软件，尽量不要和其他人共用账号，如有以上行为请立即修改密码。,,,,,,,,,,,,,,,,,1
人事主管-负责猎头供应商管理,"
                    	30-50万
                    ",成都,本科及以上,5年以上,语言不限,20-45岁,,"
               岗位职责：1、负责人事基本工作；2、负责员工招聘工作，能通过各个渠道快速找到符合公司要求的人才；3、擅长组织公司活动，活跃公司氛围；4、领导安排的其他事项。","要求：1、熟悉人力资源管理工作；2、3-5年人事工作经验；3、责任心强，工作主动积极；4、沟通组织能力良好。
            ",人力部,不限,hrd,2人,,,"
100%
							",1
猎头顾问,"
                    	10-30万
                    ",苏州,大专及以上,2年以上,普通话,25-35岁,,"
               1. 搜索或寻访、面试、评估、筛选、推荐候选人;2. 与高级顾问进行职位分析,制定详细的寻访方案,选择寻访渠道;3. 与客户沟通,了解客户需求信息,提供招聘方案与计划;4. 建立人才搜寻渠道,了解中高级及专业人才的动态信息;5. 做好候选人面试安排、结果反馈、offer谈判、背景调查及后续跟踪服务;6. 保持与维护客户和候选人良好的关系; 
",,猎头部,不限,项目经理,0人,,,"
100%
							",1
猎头助理/寻访员,"
                    	10-20万
                    ",杭州,统招本科,1年以上,普通话,23-28岁,,"
               岗位职责：1、按照公司标准流程，协助顾问或独自分析客户的职位需求，制定项目找寻计划并找到合适职位的候选人。2、从企业发展的角度为客户提供专业性的意见，为候选人提供职业发展的意见和指导。3、按规范要求和程序面试并评估候选人，制作专业性的推荐报告。4、协调客户对候选人的面试，并在需要时协调待遇和过渡事宜，为客户和候选人提供跟踪服务。5、 收集目标行业的客户信息，分析研究客户的要求，与客户及候选人保持良好的沟通，准确有效的传递双方的表达。 ",要求：1. 本科以上，有猎头行业经验者优先考虑。2. 热爱互联网行业，对互联网行业有自己一定的见解。3. 对人才有准确的把握，对主要岗位的工作职责和,猎头部,不限,OM,0人,,,"
100%
							",1
猎头顾问-Consultant,"
                    	10-25万
                    ",成都,统招本科,1年以上,英语 + 普通话,23-30岁,,"
               工作内容：1.与客户进行有效的沟通, 快速准确地理解客户的需求；2. 制定人才搜索和寻访的计划；3. 完成对潜在候选人的甄选和评估,并向客户提供候选人推荐报告；4. 保持与客户沟通并协调跟进具体项目的进展;5. 负责具体项目的运作，并完成项目的系列业务活动（包括候选人的寻访， 甄选，评估与推荐）达成个人业绩目标;6.新客户开发以及业务区域拓展；","要求：1. 本科或者硕士以上教育背景；2. 2年及以上IT互联网猎头或IT行业甲方招聘经验，熟悉IT互联网技领域技术、产品、运营、职能岗位的招聘；3.有IT互联网KA客户服务经验者优先、过往业绩记录优秀者可放宽以上条件；4. 良好的项目把控能力及推进能力；5. 成熟稳重、逻辑缜密、具有良好的分析判断能力；6. 具备较强的沟通、解决问题能力；7. 乐于分享、追求卓越，对工作富有激情。公司福利：1、完善的培训机制：5天4夜带薪封闭式培训 + 8周一对一在职辅导 + 每周主题分享会2、畅通无阻的晋升空间：AC—C—SC—XMC(只要你愿意学习提升，公司就会给你舞台）3、丰厚可观的收入：底薪（半年激励调薪）+业绩提成（每个月核算发放）+签约奖金+月度奖金+年终奖金4、法定福利：五险一金（入职即购买）+法定节假日5、公司关怀：带薪年假（7-10天）+月度一次团建旅游+节日礼品+生日会+每周2次下午茶6、工作时间：7.5小时/天(上午9:30-12:00 下午1:30-6:30) + 周末双休7、还有更多的惊喜的福利待遇等待着你哦。
            ",IT 互联网,不限,Senior Manager ,0人,,,"
100%
							",1
资深猎头顾问,"
                    	30-50万
                    ",上海,大专及以上,3年以上,语言不限,20-32岁,,"
               岗位职责：带领团队完成团队指标，为客户寻找高质量人才甄选、储备行业内中高级人才和专业人才，尤其是前30%优秀人才及高潜质人才，并与之保持联络；定期组织小组项目分析及会议，参加或组织公司的各项培训配合Manager安排的其他工作事项；履行并传承公司文化理念。 ","要求3年以上猎头经验，有自己擅长的行业，有Mapping经验优先本科及以上学历，热爱猎头工作，具有积极豁达的心态，关注细节；良好的沟通能力，团队协作精神，做事有计划性，结果导向；具有多任务处理，分析问题、划分优先级的能力，能够在一定压力下开展工作。正直，诚信，责任心强，良好的自我管理能力，快速持续的学习能力；  工作地址上海市长宁区中山西路179号虹桥世家7楼CD室（中山公园附近，地铁2.3.4号线都可以到) 深圳市南山区高新南四道25号W2-A座6L（地铁1号线，深圳大学站，C出口）北京西城区西直门南大街2号成铭大厦B1座10C（地铁13号、4号、2号线 西直门站，C出口）
            ",猎头部,不限,总经理,0人,,,"
100%
							",1
猎头顾问（资深）,,,,,,,,,,,,,,,,,1
猎头顾问（南山）,"
                    	30-60万
                    ",深圳,本科及以上,2年以上,语言不限,25-35岁,,"
               【岗位职责】1、全面负责猎头项目的具体推进、执行工作，满足客户招聘需求；2、充分理解客户需求，制定寻访方案，寻访到合适的候选人，甄选评估最合适的候选人并推荐给客户；3、深入理解行业及人才流动状况，建立丰富的人才搜寻渠道，持续积累细分领域优秀人才资源；4、与客户保持积极、有效的沟通，协调跟进具体项目的进展；5、必要时从事客户开发及业务拓展工作。【岗位要求】1、优秀的沟通及商业谈判技巧，良好的人际交往能力；2、个人成就愿望强烈、喜欢挑战性的工作、能够在压力与挑战下保持乐观与自信；3、善于学习和自我激励，保持工作激情；善于思考，执着有耐心；4、1年以上IT、互联网等行业从事过软件开发或测试、HR、销售等方面工作，或有猎头行业1年以上工作经历，业绩优秀；5、其它行业有销售潜质的资深研发、销售、HR、综合业务管理也可考虑；6、热爱猎头行业，有意在该领域长期发展；【公司福利】：本公司提供优厚的待遇和良好的工作环境，欢迎有志之士加盟！5天8小时工作制、弹性工作五险一金、带薪年假、带薪病假每天下午茶每周茶话会加班餐补助、通讯补贴、加班打车报销、体检报销、会见候选人花费培训分享多，入职之后即有资深顾问带领，培训指导相继而来~公司团建活动丰富（聚餐、唱K、爬山、打球等户外活动）~福利多，奖励机制多：美味晚餐or现金奖励or带薪假期or国内/国外游奖励or豪华游轮出境游等等~最主要的是~~~公司氛围很high哦~~~团队优秀，凝聚力强~~~~加入汇锐，与这个充满活力的团队一起努力，与高级顾问一同成长，实现与各个精英人士的直接对话，学习各个精英的成长路径，成为职业精英吧！
            ",,招聘部,不限,Leader,0人,,,"
100%
							",1
猎头助理,"
                    	10-20万
                    ",北京,学历不限,1年以上,语言不限,20-30岁,,"
               岗位职责：（1）协助顾问收集目标行业的客户信息，分析研究客户的要求，为客户提供有价值的服务；（2）根据客户提供的职位，寻访适合该职位的候选人；（3）协助顾问联络候选人，安排候选人面试；（4）协助顾问进行市场拓展，了解客户需求，达成委托招聘协议，维护良好的客户关系；（5）与客户及候选人保持良好的沟通，及时获取并准确、有效的信息，并传递双方信息反馈；（6）协助顾问完成业绩指标，有效执行顾问的工作安排；（7）按照要求完成相关的候选人报告。","要求：（1）22-28岁，男女不限，大专以上学历；（2）有1年以上招聘、猎头或电话销售经验优先；（3）喜欢与人打交道，善于通过电话与人建立联系；（4）学习能力强，有较强的责任心和抗压能力；（5）思维敏捷,人际交往广,良好的沟通技巧；（6）熟悉互联网搜索应用，热爱猎头行业。
            ",业务部,不限,分公司总,0人,,,"
100%
							",1
猎头顾问,"
                    	10-40万
                    ",北京,统招本科,经验不限,语言不限,20-25岁,,"
               1、全日制正规二本及以上学历（重点院校优先），专业不限。2、一年以上工作经验，有销售、咨询、HR或猎头公司工作经验者优先。3、对人才招聘专业服务有浓厚兴趣；富有激情，能够在一定的压力下开展工作。4、具有快速、持续的学习能力，并具有一定的灵活应变性。5、独立性强，乐于思考，有耐心，做事不轻言放弃，善于不断寻找新的突破。6、擅长有效沟通，并具有良好的客户服务意识。7、具良好的团队合作意识，并让这种意识成为习惯。8、良好的英文读写能力，口语优秀者优先考虑。
            ",,市场营销部,不限,负责人,0人,,,"
100%
							",1
猎头顾问,"
                    	10-40万
                    ",杭州,统招本科,经验不限,语言不限,20-25岁,,"
               1、全日制正规二本及以上学历（重点院校优先），专业不限。2、一年以上工作经验，有销售、咨询、HR或猎头公司工作经验者优先。3、对人才招聘专业服务有浓厚兴趣；富有激情，能够在一定的压力下开展工作。4、具有快速、持续的学习能力，并具有一定的灵活应变性。5、独立性强，乐于思考，有耐心，做事不轻言放弃，善于不断寻找新的突破。6、擅长有效沟通，并具有良好的客户服务意识。7、具良好的团队合作意识，并让这种意识成为习惯。8、良好的英文读写能力，口语优秀者优先考虑。
            ",,市场营销部,不限,部门负责人,0人,,,"
100%
							",1
猎头顾问,"
                    	10-40万
                    ",广州,统招本科,经验不限,语言不限,20-25岁,,"
               1、全日制正规二本及以上学历（重点院校优先），专业不限。2、一年以上工作经验，有销售、咨询、HR或猎头公司工作经验者优先。3、对人才招聘专业服务有浓厚兴趣；富有激情，能够在一定的压力下开展工作。4、具有快速、持续的学习能力，并具有一定的灵活应变性。5、独立性强，乐于思考，有耐心，做事不轻言放弃，善于不断寻找新的突破。6、擅长有效沟通，并具有良好的客户服务意识。7、具良好的团队合作意识，并让这种意识成为习惯。8、良好的英文读写能力，口语优秀者优先考虑。
            ",,市场营销部,不限,部门负责人,0人,,,"
100%
							",1
猎头顾问/ 合伙人,,,,,,,,,,,,,,,,,1
猎头顾问助理,"
                    	10-15万
                    ",南京,本科及以上,5年以上,语言不限,20-45岁,,"
               1、根据客户要求，分析所委托的职位，掌握访寻标准；2、在顾问的指导下, 制定人才搜索和寻访的计划,明确访寻方向和访寻目标公司；3、通过cold call等多种方式访寻候选人，获得候选人信息和简历；4、协助顾问与候选人进行深入的沟通，完成对潜在候选人的甄选和评估,并向客户提供候选人清单; 5、通过整个行业访寻，维护并拓展候选人资料库。
            ",,人事部,不限,BU猎头顾问,0人,,,"
100%
							",1
Recruitment Consu...,,,,,,,,,,,,,,,,,1
高级猎头顾问,"
                    	10-20万
                    ",北京,统招本科,2年以上,语言不限,23-35岁,,"
               岗位职责：1.简历人才搜寻渠道，了解中高级人才的动态信息；2.开发及拓展客户，了解客户潜在需求；3.与客户沟通，了解客户需求信息，提供招聘方案与计划；4.进行职位分析，制定详细的寻访方案，选择寻访渠道；5.搜索、面试、评估、筛选候选人；6.跟踪与维护。","资格：1.本科及以上学历；2.具备优秀的人际沟通能力与学习能力；3.有良好的职业道德和职业操守，较强的责任感和抗压能力；4.成熟稳重，关注细节，善于逻辑思考、分析总结；5.有猎头经验和一定管理经验者优先。工作地址北京市朝阳区朝阳门外大街乙12号昆泰国际大厦803
            ",项目管理部,不限,部门经理、总经理,0人,,,"
100%
							",1
猎头顾问,"
                    	15-30万
                    ",上海,学历不限,经验不限,英语,23-30岁,,"
               Accolades# 1 Global PROVIDERS OF IT Staffing Recruitment# 3 U.S. PROVIDER OF Industrial Recruitment What does potential recruitment consultant look like? No recruitment experience needed – looking for sales oriented individuals;  Opportunity to engaged with high caliber technical candidates and clients in big name IT industry within the Guangzhou market;  Opportunity to visit some of China’s most popular IT companies;  Be part of a team of passionate staffing and recruitment experts growing the China market;  Accelerated career path and promotion criteria;  Advanced mentorship and training program;  Competitive salary and uncapped commission plan. 
            ",,staffing,不限,Director,0人,,,"
100%
							",1
猎头培训生,,,,,,,,,,,,,,,,,1
猎头顾问-高级顾问,"
                    	10-40万
                    ",广州,本科及以上,5年以上,英语 + 普通话,25-45岁,,"
               岗位职责：Meet and communicate with clients to understand the detail job responsibilities and requirements of the positions if applicable.Develop target/sourcing list with Project leader and / or Researcher(s).Direct approach potential candidates for middle to senior management level positions.Telephone interview and face-to-face interview with potential candidates in order to identify suitable candidates who match with client’s requirements and culture.Prepare candidates summary/reports and present candidates to clients if necessary.Communicates with clients to get feedback on candidates presented and arrange interviews for clients to meet with selected candidates if necessary.Follow up with clients and candidates in order to reach a successful closure of assignments.Negotiate salary package between clients and candidates.Communicates and get feedback from clients on why candidates are rejected and feedback to candidates. Reconfirm client’s requirements when necessary.Communicates with successful candidates regularly after closure of assignments.Other general project related administration duties.","资格：Minimum 3 years recruitment experience either within an in-house HR role or from an executive search / recruiter.Strong interpersonal and excellent written and oral communication skills (both English and Mandarin).Must be very client service orientated, with a can-do attitude.Mature with a strong sense of responsibility, accountability and professionalism.Experienced in conducting research work, cold calls, writing report and providing client feedback.Able to lead a team to ensure the successful completion of assignments.An University / College graduate.
            ",猎头,不限,合伙人,0人,,,"
100%
							",1
猎头顾问,"
                    	10-20万
                    ",苏州,学历不限,经验不限,语言不限,20-35岁,,"
               岗位职责：1.帮助客户企业招聘中高端人才；2.进行相关候选人简历的收集、分类、整理，对简历做初步筛选；3.针对性搜索人才信息，通过各种渠道快速寻访候选人，进行初步评估，推荐合适的候选人；4.根据客户职位信息，分析研究客户的需求，协助顾问顺利完成该职位；5.整理候选人推荐报告；6.学习行业知识的同时进行项目操作。 ","要求：1.全日制本科及以上学历，专业不限，有猎头从业经验或招聘经验者优先；2.愿意在人力资源领域长期发展；3.目标意识明确，主动性强，具有强烈的进取心；4.善于与人沟通，有一定的人际协调能力，思维清晰，谈判能力强；5.具有良好的团队协作能力；能承受一定的工作压力，具有高度的责任感。
",猎头部,不限,MC,0人,,,"
100%
							",1
猎头顾问,"
                    	10-18万
                    ",上海,统招本科,经验不限,语言不限,20-28岁,,"
               1. 帮助客户企业招聘中高端人才；2. 进行相关侯选人简历的收集、分类、整理，对简历做初步筛选；3. 针对性搜集人才信息，通过各种渠道快速寻访候选人，进行初步评估将推荐合适的候选人；4. 根据客户职位信息，分析研究客户的需求，协助顾问顺利完成该职位；5. 整理候选人推荐报告；6. 学习行业知识的同时操作项目。
            ",,业务,不限,项目经理,0人,,,"
100%
							",1
地产猎头顾问,"
                    	15-25万
                    ",深圳,统招本科,2年以上,语言不限,25-30岁,,"
办公地点位于南山区科技园，专注于地产行业。1、在高级顾问的指导下，分析客户需求、制定人才寻访计划并付诸实施；2、协助猎头顾问对候选人进行候选人评估和推荐，面试辅导和项目跟进；3、搜集行业信息，维护数据库日常数据；4、协助顾问完成售前、售中、售后的客户服务工作;5、根据客户职位需求寻访、猎取、甄选、推荐各类候选人.
            ",,项目部,不限,猎头顾问,0人,,,"
100%
							",1
猎头顾问助理/应届毕业生,"
                    	10-10万
                    ",深圳,统招本科,经验不限,语言不限,20-26岁,,"
               办公地点位于南山区科技园，地铁1号线深大站和地铁2号线科苑站。1、在高级顾问的指导下，分析客户需求、制定人才寻访计划并付诸实施；2、协助猎头顾问对候选人进行候选人评估和推荐，面试辅导和项目跟进；3、搜集行业信息，维护数据库日常数据；4、协助顾问完成售前、售中、售后的客户服务工作;5、根据客户职位需求寻访、猎取、甄选、推荐各类候选人.
            ",,项目部,不限,顾问,0人,,,"
100%
							",1
资深猎头顾问,,,,,,,,,,,,,,,,,1
猎头助理/Researcher,"
                    	10-10万
                    ",北京,本科及以上,经验不限,语言不限,22-25岁,,"
               1. 协助顾问收集目标行业的市场信息、分析研究客户需求，为客户提供有价值的服务；2. 根据客户提供的职位，多渠道寻访适合的候选人并助顾问进行简历的初步筛选、电话沟通及初步面试筛选；3. 收集潜在候选人的简历，协助猎头顾问进行相关侯选人资料的收集、分类、整理； 4. 联络候选人，安排候选人面试；5. 文件处理工作；6. 协助顾问完成业绩指标，有效执行顾问的工作安排。
            ",,猎头,不限,Manager,0人,,,"
100%
							",1
猎头顾问,"
                    	10-40万
                    ",北京,大专及以上,1年以上,语言不限,23-35岁,,"
               1.根据客户需求，确定寻访方向，选择有效渠道，进行中高端人才寻访。2.负责向中高端人才介绍客户及相关职位情况，并进行意向沟通。3.负责对有意向人选进行面试，对符合客户要求人选，制作推荐报告推荐给客户。4.负责面试安排及协调，力保面试顺利进行。5.对通过终试人选，协助客户及人选进行OFFER谈判。6.协助客户进行人选背景调查。7.负责对客户录用人选的试用期跟踪及访谈，保证人选顺利通过保证期。8.协助人选催款工作。
            ",,猎头,不限,总经理,0人,,,"
100%
							",1
猎头顾问,"
                    	10-25万
                    ",青岛,学历不限,3年以上,语言不限,20-35岁,,"
               1、分析职位要求，与客户hr沟通职位详细需求和职位相关情况。2、确定寻访方向、策略，开始搜寻，并根据招聘进度做出调整。3、联系候选人，判断候选人的匹配性，做推荐。4、进行一些必要的候选人面试培训，跟进招聘进度。5、协助候选人入职。
            ",,猎头部,不限,行业Leader,0人,,,"
100%
							",1
猎头顾问,"
                    	20-50万
                    ",北京,大专及以上,1年以上,语言不限,22-40岁,,"
               1.	职位分析：在Leader的指导下，做职位分析报告:1)	职位需求关键点:产品、市场、平台、相关工具等2)	目标公司人员情况3)	客户公司信息：该职位薪水情况、公司架构、优劣势、工作地点等2.	人选搜寻与沟通：1)	制定搜寻方案，根据搜寻方案做初步搜索、筛选、沟通；并将适合人选的简历做成推荐函.2)	向人选传达职位重要信息.3)	确切把握人选重要信息，包括人选与职位匹配情况(具体工作内容，相关的技能、经 验、产品及市场了解程度等)、薪资及期望值、动机、跳槽理由、特殊情况说明等。3.	面试协调：	1)	面试前沟通：负责人选端面试时间协调、面试指导、面试前提醒2)	面试后沟通：了解面试内容/问题，对面试官和公司的评价以及兴趣度.4.	薪资协调，'1)	充分了解客户方和人选方的优劣势5.	背景调查：1)	根据人选提供足够并合适的调査对象并进行背景调查，调査报告经组长检查后交给 客户。2)	关于人选的负面评价，寻访员与组长沟通确定合适的表述方式。6.	人选跟踪：1)	入职前跟踪：关注候选人的离职进度，当人选遇到离职难题时做人选的智囊团。2)	入职：及时确认人选入职情况以及对公司3)	入职后跟踪：定期与人选沟通工作情况，发现问题及时与组长沟通，并采取相应措 施。
",,猎头部,不限,部门经理,0人,,,"
100%
							",1
助理猎头顾问,"
                    	10-12万
                    ",成都,统招本科,经验不限,英语,21-27岁,,"
               岗位职责：1. 对行业特定人才的搜寻，整理，分析，评估，推荐2. 客户所在的行业及客户职位需求的分析，确定搜寻方向，目标公司及目标候选人3. 与潜在候选人沟通，了解候选人的背景、能力等，并对候选人是否符合职位要求进行分析判断4. 对目标候选人的信息进行系统录入与整理，并在职位推荐中进一步完善更新候选人信息，使系统中的候选人信息更加完整有效5. 在职位推荐的各个环节中对候选人状态进行持续的跟进与维护","资格：A.	专业背景：理工科专业（如果学习能力强，专业也可以不限制）；B.	经验：应届毕业生或者毕业不超过2年时间者，有无猎头经验不重要；C.	个人风格及性格：快速响应，积极主动，踏实勤奋，有进取心D.	英语：至少读写良好
            ",智能制造及工业互联网,不限,Team Leader,0人,,,"
100%
							",1
猎头顾问,"
                    	10-15万
                    ",长沙,大专及以上,1年以上,语言不限,20-40岁,,"
               岗位职责：1、全面负责猎头项目的具体推进、执行，完成年度业务指标；2、建立人才搜寻渠道，了解中高级人才的动态信息；3、开发及拓展客户，了解客户潜在人才需求；4、与客户沟通，了解客户需求信息，提供招聘方案与计划；5、进行职位分析，制定详细的寻访方案，选择寻访渠道；6、搜索、面试、评估、筛选及推荐候选人；7、向客户做候选人面试安排、结果反馈、背景调查及后续跟踪服务；8、保持与维护客户和被录用者良好的关系。","要求：1、大专及以上学历 ；2、有市场销售或人力资源背景的优先考虑；3、具备优秀的人际沟通能力，思维缜密，关注细节；4、成熟稳重，能够承受较大的工作压力，具有高度的责任感；5、善于学习，结果导向，自我要求严格。
            ",人力资源部,不限,Leader,0人,,,"
<15%
							",1
猎头顾问,"
                    	10-15万
                    ",郑州,大专及以上,1年以上,语言不限,20-40岁,,"
               岗位职责：1、全面负责猎头项目的具体推进、执行，完成年度业务指标；2、建立人才搜寻渠道，了解中高级人才的动态信息；3、开发及拓展客户，了解客户潜在人才需求；4、与客户沟通，了解客户需求信息，提供招聘方案与计划；5、进行职位分析，制定详细的寻访方案，选择寻访渠道；6、搜索、面试、评估、筛选及推荐候选人；7、向客户做候选人面试安排、结果反馈、背景调查及后续跟踪服务；8、保持与维护客户和被录用者良好的关系。","要求：1、大专及以上学历 ；2、有市场销售或人力资源背景的优先考虑；3、具备优秀的人际沟通能力，思维缜密，关注细节；4、成熟稳重，能够承受较大的工作压力，具有高度的责任感；5、善于学习，结果导向，自我要求严格。
            ",人力资源部,不限,Leader,0人,,,"
50%
							",1
猎头项目经理,"
                    	10-30万
                    ",武汉,大专及以上,1年以上,语言不限,23-40岁,,"
                   1、25-35岁，大专以上学历    2、2年以上企业人事招聘、猎头工作经验    3、对人才有准确把握，对主要岗位的工作职责和","要求有全面深刻理解    4、工作效率高，执行力强，沟通协调力强    5、能承受工作压力，善于学习，金融行业相关人脉资源丰富
            ",人力资源,不限,总监,5人,,,"
100%
							",1
猎头经理,"
                    	10-12万
                    ",上海,大专及以上,2年以上,语言不限,25-45岁,,"
               1. 与客户深度沟通，理解其人才寻访需求并做出职位分析，确定人才搜寻方向2. 通过公司人才库，电话，网络以及人际关系搜集目标公司相关人才的信息3. 独立面试和筛选目标人才, 撰写专业的候选人推荐报告4. 安排客户和目标人才的面试5. 协调客户与候选人之间的薪资等谈判， 背景调查并跟踪候选人上班6. 候选人上班后的后续服务","要求：1.汽车行业、新能源汽车、汽车零配件销售或人事经验优先考虑2.有猎头、人力资源经验的优先
            ",项目管理,不限,总经理,0人,,,"
100%
							",1
猎头顾问,"
                    	20-30万
                    ",深圳,大专及以上,3年以上,普通话,25-50岁,,"
               1、与客户和候选人保持良好关系，了解熟悉人才市场动态，寻找和挖掘业务信息，进行业务拓展；2、作为team leader负责客户委托的招聘项目，与客户充分沟通，分析职位需求，同时客户提供一定的咨询或引导；3、通过各种渠道根据客户需求访寻候选人或者指导助理完成访寻工作；4、面试和甄选候选人，根据客户的需求和特点，推荐合适的候选人；5、协调安排客户面试，及时解决面试过程中遇到的问题；6、协调薪酬谈判和录用通知书的签署，并根据客户要求进行候选人的详细背景调查；7、候选人入职前中后期的跟踪，并为候选人提供相应的职业发展建议。
",,猎头部,不限,总经理,0人,,,"
100%
							",1
猎头合伙人,"
                    	20-40万
                    ",深圳,学历不限,5年以上,普通话,25-45岁,,"
               1、负责猎头公司内部管理和日常事务； 2、负责顾问团队的培训、绩效管理等； 3、协调业务与顾问组的工作进度，协助业务团队的专业支持； 4、负责维护重要企业客户关系和应收款回收； 5、协助总经理制定集团经营计划；6、参与客户开发和项目评估。
            ",,猎头部,不限,总经理,0人,,,"
100%
							",1
首席猎头顾问/项目经理,"
                    	20-50万
                    ",东莞,大专及以上,5年以上,英语 + 普通话,30-40岁,,"
               岗位职责：工作职责：1 完成年度业绩计划，带领行业项目小组完成目标；2 指导行业顾问或助理顾问的工作并协助人选访猎、客户管理的工作；3 挖掘行业人才库信息，并实质性发挥其价值；4 负责日常项目小组的管理、培训工作； 5 定期和公司管理层沟通，反馈其运营进度；6 参与公司战略制定。","资格：1. 5年或以上猎头行业或相关行业中、高端人才招聘推荐工作经验； 2. 能独立开拓客户，根据客户的不同需求，处理、跟进客户职位人才推荐情况； 3. 热爱猎头工作，具备团队领导能力； 4. 英文读写优秀、听说良好，熟悉各类电脑办公软件操作； 5. 积极主动、有高度责任心及团队合作精神；6. 条件优秀者，可发展为公司合伙人。
            ",人力资源部,不限,总经理,8人,,,"
<15%
							",1
猎头顾问,"
                    	10-40万
                    ",北京,本科及以上,经验不限,语言不限,23-38岁,,"
               工作职责：–   与顾问保持沟通，充分了解目标群体和客户的需求；–   在顾问的指导下搜寻合适候选人；–   搜集整理简历，电话面试筛选候选人，向顾问推荐合适人选；–   与顾问沟通并撰写推荐报告；–   协助顾问为客户安排面试，并对面试的情况进行跟踪；–   维护并及时录入人才数据库，并及时更新；–   协助顾问完成其他相关工作。 ","要求： –   本科以上学历；英语良好；-    1年以上猎头、招聘或销售工作经验，熟悉医药，消费品，房地产，工业，IT，文化，教育行业优先；–   良好的学习能力及逻辑分析能力；–   良好的抗挫折能力，能积极应对并乐于接受挑战；–   良好的沟通能力、分析判断能力和客户服务技巧；–   良好的团队意识，注重团队合作。
            ",CC-Healthcare,不限, Leader,0人,,,"
100%
							",1
高级猎头顾问,"
                    	15-20万
                    ",北京,大专及以上,1年以上,语言不限,20-40岁,,"
               1.独立负责行业客户委托的招聘项目(房地产和消费品方向)，与客户充分沟通，分析职位需求，必要时为客户提供一定的咨询或引导；2.通过各种渠道访寻候选人或指导寻访员完成初步的访寻工作；3.面试和甄选候选人，根据客户的需求和特点，推荐合适的候选人；4.协调安排客户面试，及时解决面试过程中遇到的问题；5.协调薪酬谈判和录用通知书的签署，并根据客户要求进行候选人背景调查；6.候选人入职前、中、后的跟踪服务，并为候选人提供相应的职业发展建议；7.与客户和候选人保持良好关系，了解市场动态，寻找和挖掘业务信息，进行业务拓展。","要求：1.本科学历或以上，专业不限；2.两年以上猎头地产或者消费品行业经验或相关工作经验优先考虑；3.具备优秀的人际沟通能力，思维缜密，关注细节；4.成熟稳重，能够承受较大的工作压力，具有高度的责任感；5.善于学习，结果导向，自我要求严格。
            ",集团猎头事业部,不限,总经理,2人,,,"
<15%
							",1
猎头顾问,"
                    	10-15万
                    ",乌鲁木齐,大专及以上,2年以上,普通话,20-35岁,,"
               岗位职责：1、与客户和候选人保持良好关系，了解熟悉人才市场动态，寻找和挖掘业务信息，进行业务拓展；2、通过各种渠道根据客户需求访寻候选人或者指导助理完成访寻工作；3、面试和甄选候选人，根据客户的需求和特点，推荐合适的候选人；4、协调安排客户面试，及时解决面试过程中遇到的问题；5、协调薪酬谈判和录用通知书的签署，并根据客户要求进行候选人的详细背景调查；6、候选人入职前中后期的跟踪，并为候选人提供相应的职业发展建议。","资格：1、大专以上学历，2年以上工作经验;2、熟悉人选的甄选技巧，具客户管理或项目管理经验；3、良好的表达沟通能力和职业道德观，学习能力和独立性强，能承受较大的工作压力；4、优良的沟通能力，对人的敏锐洞察力和判断力，工作细致，有团结协作精神。工作时间：每周五天
            ",集团猎头事业部,不限,分公司负责人,0人,,,"
<15%
							",1
高级猎头顾问,"
                    	30-60万
                    ",北京,大专及以上,3年以上,语言不限,25-35岁,,"
               Team Leader/高级猎头顾问 工作内容：1.	在公司平台上负责团队日常管理工作，招聘团队成员；2.	负责互联网行业客户信息分析，研究客户需求； 3.	负责客户市场拓展，与客户建立委托招聘协议，并维系良好的客户关系； 4.	从客户端收集、分析招聘需求的详细信息并实施有效的招聘行动； 5.	从客户的招聘需求中确认职位的所需能力及资历，分析市场并确立搜寻的方向及目标； 5、	准确地传达客户的招聘需求，为候选人做面试、评估，通过有效的匹配工作来确定合适的候选人； 6、	进行候选人的薪资协调及谈判工作及后续的维护跟进工作；7、	按照工作流程完成工作日的、周、年计划、总结；8、	按照公司相关管理规章制度 、工作流程、各项标准完成日常工作。","要求：1.	如果你是互联网从业人员或资深的猎头顾问，希望你心怀更大的梦想，热爱猎头行业，积极进取，责任心强；2.	如果你已经具备互联网行业广博的人脉关系，人脉拓展能力和资源；3.	如果你对带领团队非常擅长并且有浓厚兴趣；4.	如果你还能不断自我激励，良好的沟通能力，高效完成工作目标；5.	如果你具备团队合作精神、优秀的职业操守和职业素养；6.	希望你具有敏锐的行业感知力和准确的判断力，较强的抗压能力和协调能力；7.	希望你简单、专注；努力、分享；有态度、有结果。
",猎头业务部,不限,合伙人,0人,,,"
100%
							",1
